product_name,product_rating,product_current_price,product_url
Emergency Call - The Attack Squad Nintendo Switch Game,,£25.99,https://www.argos.co.uk/product/3446032
Harvest Days Nintendo Switch Game Pre-Order,,£22.99,https://www.argos.co.uk/product/3445538
Skabma - Snowfall Nintendo Switch Game,,£21.99,https://www.argos.co.uk/product/3294071
Train Valley Collection Nintendo Switch Game,,£31.99,https://www.argos.co.uk/product/3248302
DINOSAURS: Mission Dino Camp Nintendo Switch Game,,£26.99,https://www.argos.co.uk/product/3241866
Battle Of Rebels Nintendo Switch Game Pre-Order,,£26.99,https://www.argos.co.uk/product/3157668
Survivor: Castaway Island Nintendo Switch Game,,£31.99,https://www.argos.co.uk/product/3157503
Beholder 3 Nintendo Switch Game,,£21.99,https://www.argos.co.uk/product/3156731
Jumanji: Wild Adventures Nintendo Switch Game,,£22.99,https://www.argos.co.uk/product/3137444
Pups & Purrs Pet Shop Nintendo Switch Game,,£32.99,https://www.argos.co.uk/product/3136634
Tchia: Oleti Edition Nintendo Switch Game,,£27.99,https://www.argos.co.uk/product/3083330
Dolphin Spirit: Ocean Mission Nintendo Switch Game,,£32.99,https://www.argos.co.uk/product/3067301
NBA 2K25 Nintendo Switch Game,,£44.99,https://www.argos.co.uk/product/2655673
Sociable Soccer 24 Nintendo Switch Game,,£22.99,https://www.argos.co.uk/product/2655051
Dragon Quest III HD-2D Remake Nintendo Switch Game Pre-Order,,£49.99,https://www.argos.co.uk/product/2654942
Balatro Special Edition Nintendo Switch Game Pre-Order,,£21.99,https://www.argos.co.uk/product/2654674
Sonic X Shadow Generations Nintendo Switch Game Pre-Order,,£44.99,https://www.argos.co.uk/product/2151081
Vampire: The Masquerade Swansong Nintendo Switch Game,,£39.99,https://www.argos.co.uk/product/1407671
My Time At Sandrock Nintendo Switch Game,"Rating 3.500002 out of 5
(2)",£29.99,https://www.argos.co.uk/product/3989692
Memory Nintendo Switch Game,"Rating 3.000001 out of 5
(1)",£8.99,https://www.argos.co.uk/product/3989726
Skull Island: Rise Of Kong Nintendo Switch Game,"Rating 3.000001 out of 5
(1)",£29.99,https://www.argos.co.uk/product/3203024
Agatha Christie: The ABC Murders Nintendo Switch Game,"Rating 3.800011 out of 5
(11)",£11.99,https://www.argos.co.uk/product/7143908
Flipping Death Nintendo Switch Game,"Rating 3.300003 out of 5
(3)",£9.99,https://www.argos.co.uk/product/3446458
The Grinch: Christmas Adventures Nintendo Switch Game,"Rating 4.300003 out of 5
(3)",£30.99,https://www.argos.co.uk/product/4749752
Sphinx and the Cursed Mummy Nintendo Switch Game,,£11.99,https://www.argos.co.uk/product/7087813
Namco Museum Archives Volume 2 Nintendo Switch Game,,£11.99,https://www.argos.co.uk/product/6795876
Tevi Nintendo Switch Game,,£31.99,https://www.argos.co.uk/product/5829798
Wrath: Aeon of Ruin Nintendo Switch Game,,£22.99,https://www.argos.co.uk/product/5829619
Cat Rescue Story Nintendo Switch Game Pre-Order,,£31.99,https://www.argos.co.uk/product/5829499
Core Keeper Nintendo Switch Game Pre-Order,,£24.99,https://www.argos.co.uk/product/5829468
